Mode,OBJECTID,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTES_USING_STOP,SHAPE,SE_ANNO_CAD_DATA,In City Of Melbourne
BUS,6508,20472,Lonsdale St/Queen St (Melbourne City),-37.8125,144.9597,1,"232,234,235,236,237,000",POINT (-37.81254798 144.95972688),,True
BUS,6509,20473,Little Bourke St/Queen St (Melbourne City),-37.8138,144.9603,1,"207,250,251,303,309,000,000",POINT (-37.81379196 144.96029496),,True
BUS,6510,20474,Bourke St/Queen St (Melbourne City),-37.8146,144.9607,1,"220,234,236,605,216",POINT (-37.81462797 144.96068088),,True
BUS,6511,20475,Little Collins St/Queen St (Melbourne City),-37.8157,144.9612,1,"207,232,235,237,250,000,000,000,000,000",POINT (-37.81568196 144.96117516),,True
BUS,6512,20477,Casino East/Queens Bridge St (Southbank),-37.8221,144.9612,1,"236,605,234",POINT (-37.82208996 144.96121404),,True
BUS,6514,20480,Kavanagh St/Southbank Bvd (Southbank),-37.8231,144.9658,1,605,POINT (-37.82309697 144.96577596),,True
BUS,6515,20487,Victorian College of the Arts/Southbank Bvd (Southbank),-37.8237,144.9682,1,605,POINT (-37.82370699 144.96824808),,True
BUS,6516,20488,City Rd/Southbank Bvd (Southbank),-37.8231,144.9647,1,605,POINT (-37.82312199 144.96465096),,True
BUS,6517,20489,Casino East/Queens Bridge St (Southbank),-37.8217,144.9613,1,"236,605,234",POINT (-37.82169396 144.96125904),,True
BUS,6777,19249,Old Melbourne Gaol/Russell St (Melbourne City),-37.8075,144.9656,1,"207,200",POINT (-37.80749502 144.965637),,True
BUS,6802,19507,Jeffcott St/Spencer St (West Melbourne),-37.8119,144.951,1,216,POINT (-37.81189098 144.95099904),,True
BUS,6803,19508,Dudley St/Spencer St (West Melbourne),-37.8098,144.9499,1,216,POINT (-37.80980901 144.949932),,True
BUS,6804,19509,Dudley St/Spencer St (West Melbourne),-37.8105,144.95,1,216,POINT (-37.81049598 144.950049),,True
BUS,6805,19510,Jeffcott St/Spencer St (West Melbourne),-37.8118,144.9507,1,216,POINT (-37.81181403 144.95068296),,True
BUS,6806,19513,Spencer St/Dudley St (West Melbourne),-37.81,144.9506,1,220,POINT (-37.80999198 144.95059692),,True
BUS,6807,19514,King St/Dudley St (West Melbourne),-37.8093,144.952,1,220,POINT (-37.80929601 144.95203584),,True
BUS,6808,19515,William St/Dudley St (West Melbourne),-37.8087,144.9546,1,220,POINT (-37.80870102 144.95463108),,True
BUS,6809,19519,Banana Alley Vaults/Flinders St (Melbourne City),-37.8192,144.9619,1,"236,605,234",POINT (-37.81915596 144.96194304),,True
BUS,6810,19522,Market St/Flinders St (Melbourne City),-37.819,144.9618,1,605,POINT (-37.81897299 144.96180012),,True
BUS,6811,19527,Little Lonsdale St/Russell St (Melbourne City),-37.8096,144.9665,1,"207,200",POINT (-37.80957402 144.96648804),,True
BUS,6812,19529,Trades Hall/Lygon St (Carlton),-37.8066,144.966,1,"207,200",POINT (-37.80664596 144.96604596),,True
BUS,6813,19531,La Trobe St/Russell St (Melbourne City),-37.8086,144.9663,1,"207,200",POINT (-37.80857898 144.96631092),,True
BUS,6814,19540,Little Lonsdale St/Exhibition St (Melbourne City),-37.8088,144.969,1,"251,250",POINT (-37.80884097 144.96896196),,True
BUS,6815,19541,Spring St/Lonsdale St (Melbourne City),-37.8097,144.9713,1,"303,304,305,309,318,000,000,000,000,000,000",POINT (-37.80972 144.97132284),,True
BUS,6816,19542,Exhibition St/Lonsdale St (Melbourne City),-37.8104,144.9689,1,"251,302,303,304,305,000,000,000,000,000,000,000,000",POINT (-37.81044396 144.96886116),,True
BUS,6817,19545,Melbourne Central/Lonsdale St (Melbourne City),-37.8116,144.965,1,"207,250,251,302,303,000,000,000,000,000,000,000,000,000,000",POINT (-37.81156698 144.965025),,True
BUS,6818,19546,Supreme Court/Lonsdale St (Melbourne City),-37.8139,144.957,1,"318,905,906,907,908,000",POINT (-37.81389798 144.95702112),,True
BUS,6819,19547,Lonsdale St/Spencer St (Melbourne City),-37.8148,144.9521,1,216,POINT (-37.81482102 144.95207688),,True
BUS,6820,19548,Spencer St/Lonsdale St (Melbourne City),-37.8142,144.9553,1,216,POINT (-37.81420101 144.95529708),,True
BUS,6821,19549,King St/Lonsdale St (Melbourne City),-37.8143,144.9551,1,"304,305,318,905,906,000,000,000",POINT (-37.81428804 144.95512392),,True
BUS,6823,19550,County Court/Lonsdale St (Melbourne City),-37.8135,144.9579,1,"302,304,305,318,905,000,000,000,000",POINT (-37.81345302 144.95787396),,True
